Path,File,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
./build/a4atlas/src/apps/root2a4/message_factory.cpp.137.o.time,message_factory.cpp.137.o.time,11.40,0.24,99%,0:11.69,0,0,0,0,1766368,0,0,159961,13,368,0,96,82592,0,0,0,4096,0
./build/a4io/src/apps/a4dump.cpp.8.o.time,a4dump.cpp.8.o.time,8.12,0.22,97%,0:08.59,0,0,0,0,1562384,0,0,112473,9,640,0,40,26784,0,0,0,4096,0
./build/a4atlas/src/apps/root2a4/main.cpp.137.o.time,main.cpp.137.o.time,6.81,0.21,99%,0:07.07,0,0,0,0,1458800,0,0,105606,19,1673,0,272,18976,0,0,0,4096,0
./build/a4process/src/application.cpp.72.o.time,application.cpp.72.o.time,6.79,0.16,93%,0:07.44,0,0,0,0,1371840,0,0,100701,8,174,0,0,24832,0,0,0,4096,0
./build/a4root/src/apps/a42root/main.cpp.116.o.time,main.cpp.116.o.time,5.06,0.13,99%,0:05.22,0,0,0,0,1286512,0,0,91975,7,52,0,0,21688,0,0,0,4096,0
./build/a4io/src/input_stream_impl.cpp.4.o.time,input_stream_impl.cpp.4.o.time,5.87,0.16,89%,0:06.75,0,0,0,0,1276144,0,0,89868,7,562,0,0,15872,0,0,0,4096,0
./build/a4root/src/apps/a4results2root.cpp.117.o.time,a4results2root.cpp.117.o.time,4.43,0.15,96%,0:04.75,0,0,0,0,1157856,0,0,81637,61,481,0,1112,14424,0,0,0,4096,0
./build/a4atlas/src/apps/a4reweight.cpp.136.o.time,a4reweight.cpp.136.o.time,4.17,0.15,99%,0:04.33,0,0,0,0,1077136,0,0,76778,7,45,0,0,14728,0,0,0,4096,0
./build/a4io/src/input_stream.cpp.4.o.time,input_stream.cpp.4.o.time,4.14,0.13,87%,0:04.88,0,0,0,0,1074592,0,0,76200,7,3013,0,0,13688,0,0,0,4096,0
./build/a4io/src/output.cpp.4.o.time,output.cpp.4.o.time,4.23,0.12,92%,0:04.71,0,0,0,0,1060512,0,0,76094,7,516,0,0,13560,0,0,0,4096,0
